week_start,CA|Los Angeles|Part1,CA|Los Angeles|Part2,CA|Los Angeles|Part3,CA|Los Angeles|Part4
2016-09-20,0,0,1,0
2016-09-27,0,0,0,0
2016-10-04,0,0,0,0
2016-10-11,0,1,0,0
2016-10-18,1,0,1,0
2016-10-25,1,1,1,1
2016-11-01,0,0,2,0
2016-11-08,0,1,2,0
2016-11-15,0,0,1,0
2016-11-22,0,0,0,0
2016-11-29,0,1,2,1
2016-12-06,1,0,0,0
2016-12-13,0,0,1,0
2016-12-20,0,0,1,0
2016-12-27,0,0,0,0
2017-01-03,0,0,0,0
2017-01-10,0,0,0,0
2017-01-17,0,0,0,0
2017-01-24,0,0,1,0
2017-01-31,0,0,0,0
2017-02-07,0,0,0,0
2017-02-14,0,0,0,0
2017-02-21,0,0,0,0
2017-02-28,0,0,0,0
2017-03-07,0,0,0,1
2017-03-14,1,0,0,0
2017-03-21,0,0,0,0
2017-03-28,0,0,0,0
2017-04-04,0,0,0,0
2017-04-11,0,0,0,0
2017-04-18,0,0,0,0
2017-04-25,20,7,12,29
2017-05-02,7,11,5,14
2017-05-09,5,6,5,10
2017-05-16,12,15,20,13
2017-05-23,14,20,7,20
2017-05-30,17,8,12,20
2017-06-06,6,18,6,11
2017-06-13,11,13,11,20
2017-06-20,17,19,10,18
2017-06-27,24,13,15,22
2017-07-04,39,39,21,44
2017-07-11,15,15,6,25
2017-07-18,14,15,9,18
2017-07-25,20,21,8,16
2017-08-01,10,11,10,25
2017-08-08,11,12,8,24
2017-08-15,10,10,3,26
2017-08-22,10,14,4,15
2017-08-29,17,15,21,14
2017-09-05,11,15,4,11
2017-09-12,7,1,1,11
2017-09-19,13,6,9,10
2017-09-26,15,12,1,22
2017-10-03,14,8,7,16
2017-10-10,11,15,9,17
2017-10-17,17,3,8,15
2017-10-24,11,14,15,16
2017-10-31,5,7,1,11
2017-11-07,15,5,2,18
2017-11-14,3,11,2,8
2017-11-21,10,8,8,20
2017-11-28,8,7,7,7
2017-12-05,17,22,21,29
2017-12-12,12,11,11,16
2017-12-19,8,8,7,10
2017-12-26,13,15,4,15
2018-01-02,11,17,2,12
2018-01-09,6,9,3,8
2018-01-16,9,17,3,3
2018-01-23,5,9,4,8
2018-01-30,4,12,4,9
2018-02-06,5,9,7,9
2018-02-13,6,12,8,18
2018-02-20,5,10,1,23
2018-02-27,2,3,1,6
2018-03-06,2,8,3,5
2018-03-13,2,2,0,3
2018-03-20,3,1,1,1
2018-03-27,4,6,1,2
2018-04-03,2,7,1,3
2018-04-10,8,10,8,18
2018-04-17,9,8,7,13
2018-04-24,6,13,4,7
2018-05-01,6,9,4,12
2018-05-08,4,9,2,12
2018-05-15,8,6,1,14
2018-05-22,10,12,2,9
2018-05-29,9,19,7,7
2018-06-05,17,12,11,14
2018-06-12,10,8,8,19
2018-06-19,12,13,10,16
2018-06-26,14,21,4,15
2018-07-03,46,47,33,54
2018-07-10,20,17,11,23
2018-07-17,17,17,2,11
2018-07-24,12,12,6,15
2018-07-31,11,17,4,9
2018-08-07,26,11,15,19
2018-08-14,8,16,8,14
2018-08-21,11,13,7,16
2018-08-28,14,11,5,14
2018-09-04,11,11,1,13
2018-09-11,8,11,14,9
2018-09-18,8,6,8,11
2018-09-25,2,9,7,6
2018-10-02,11,6,4,7
2018-10-09,6,7,9,9
2018-10-16,10,9,12,12
2018-10-23,11,11,8,13
2018-10-30,9,16,14,15
2018-11-06,13,15,10,14
2018-11-13,6,14,6,13
2018-11-20,8,15,6,9
2018-11-27,1,8,5,5
2018-12-04,4,2,2,2
2018-12-11,3,5,4,5
2018-12-18,2,11,2,0
2018-12-25,4,5,6,5
2019-01-01,6,8,2,5
2019-01-08,0,5,0,2
2019-01-15,2,4,1,2
2019-01-22,7,4,2,5
2019-01-29,3,5,1,2
2019-02-05,2,3,2,5
2019-02-12,3,3,0,1
2019-02-19,5,4,3,6
2019-02-26,6,2,1,1
2019-03-05,4,4,0,2
2019-03-12,10,13,7,8
2019-03-19,3,7,1,6
2019-03-26,3,3,2,7
2019-04-02,3,8,4,9
2019-04-09,9,13,8,14
2019-04-16,10,4,4,13
2019-04-23,4,17,3,10
2019-04-30,5,4,3,11
2019-05-07,8,5,2,11
2019-05-14,3,8,2,9
2019-05-21,3,8,3,18
2019-05-28,8,15,11,12
2019-06-04,12,28,13,22
2019-06-11,12,23,8,12
2019-06-18,8,17,5,20
2019-06-25,19,16,6,23
2019-07-02,31,51,16,72
2019-07-09,18,22,10,16
2019-07-16,16,17,8,20
2019-07-23,14,26,10,22
2019-07-30,19,17,8,23
2019-08-06,24,27,4,17
2019-08-13,17,27,6,24
2019-08-20,15,17,8,22
2019-08-27,8,21,5,23
2019-09-03,23,18,9,21
2019-09-10,8,10,8,25
2019-09-17,15,12,11,15
2019-09-24,2,7,8,17
2019-10-01,14,8,5,16
2019-10-08,11,14,14,18
2019-10-15,12,16,11,18
2019-10-22,23,17,20,24
2019-10-29,15,20,18,25
2019-11-05,13,12,12,14
2019-11-12,7,17,6,14
2019-11-19,8,13,9,20
2019-11-26,3,8,5,7
2019-12-03,1,2,3,11
2019-12-10,4,6,0,4
2019-12-17,5,10,9,6
2019-12-24,6,2,1,4
2019-12-31,7,4,2,9
2020-01-07,4,5,2,9
2020-01-14,4,12,1,15
2020-01-21,6,6,8,7
2020-01-28,11,13,3,11
2020-02-04,7,12,6,16
2020-02-11,7,10,4,16
2020-02-18,11,11,8,12
2020-02-25,4,14,6,20
2020-03-03,9,8,5,14
2020-03-10,0,0,0,1
2020-03-17,0,1,0,0
2020-03-24,0,0,1,0
2020-03-31,0,0,0,0
2020-04-07,1,2,1,3
2020-04-14,4,6,3,14
2020-04-21,7,5,2,13
2020-04-28,8,10,6,11
2020-05-05,10,16,11,17
2020-05-12,7,9,7,11
2020-05-19,11,35,10,21
2020-05-26,19,25,12,23
2020-06-02,12,23,20,29
2020-06-09,47,41,25,48
2020-06-16,14,34,8,35
2020-06-23,19,40,8,31
2020-06-30,76,113,36,95
2020-07-07,32,49,17,40
2020-07-14,25,35,13,29
2020-07-21,10,27,16,21
2020-07-28,29,44,21,30
2020-08-04,22,30,14,32
2020-08-11,24,31,16,31
2020-08-18,12,14,9,33
2020-08-25,17,15,12,26
2020-09-01,21,28,12,54
2020-09-08,28,19,13,29
2020-09-15,19,28,6,40
2020-09-22,10,23,7,31
2020-09-29,19,16,11,28
2020-10-06,18,11,8,14
2020-10-13,13,19,7,14
2020-10-20,10,11,7,34
2020-10-27,16,21,8,32
2020-11-03,16,26,4,20
2020-11-10,7,14,6,27
2020-11-17,14,16,8,22
2020-11-24,10,25,10,41
2020-12-01,26,25,6,30
2020-12-08,18,26,4,24
2020-12-15,23,14,11,33
2020-12-22,25,16,6,32
2020-12-29,9,19,6,27
2021-01-05,29,15,5,16
2021-01-12,9,24,11,23
2021-01-19,14,25,8,22
2021-01-26,2,14,2,11
2021-02-02,8,17,9,23
2021-02-09,2,8,7,19
2021-02-16,10,17,3,26
2021-02-23,26,26,12,25
2021-03-02,14,23,1,22
2021-03-09,7,12,2,17
2021-03-16,8,22,4,18
2021-03-23,15,9,6,30
2021-03-30,17,36,11,33
2021-04-06,9,26,10,24
2021-04-13,24,15,6,32
2021-04-20,13,13,3,32
2021-04-27,20,29,16,44
2021-05-04,24,25,11,32
2021-05-11,26,17,4,26
2021-05-18,21,25,10,45
2021-05-25,20,19,6,51
2021-06-01,23,32,4,33
2021-06-08,26,28,16,62
2021-06-15,26,28,15,42
2021-06-22,22,34,13,45
2021-06-29,36,103,13,70
2021-07-06,39,33,16,43
2021-07-13,24,31,15,48
2021-07-20,28,27,7,42
2021-07-27,25,19,11,32
2021-08-03,25,26,12,45
2021-08-10,24,14,8,40
2021-08-17,11,18,12,44
2021-08-24,19,20,8,27
2021-08-31,21,11,13,21
2021-09-07,17,18,11,24
2021-09-14,13,16,15,25
2021-09-21,9,12,5,26
2021-09-28,32,18,12,35
2021-10-05,14,16,10,39
2021-10-12,27,22,10,36
2021-10-19,17,15,1,28
2021-10-26,4,4,9,10
2021-11-02,1,8,3,11
2021-11-09,16,14,4,31
2021-11-16,9,15,6,17
2021-11-23,3,11,15,16
2021-11-30,8,11,7,11
2021-12-07,6,12,3,11
2021-12-14,7,7,0,5
2021-12-21,2,2,1,8
2021-12-28,1,3,1,3
2022-01-04,1,5,8,4
2022-01-11,4,7,2,4
2022-01-18,7,5,8,10
2022-01-25,4,7,4,20
2022-02-01,8,8,7,13
2022-02-08,15,11,2,26
2022-02-15,13,11,3,16
2022-02-22,8,9,9,14
2022-03-01,6,10,2,9
2022-03-08,6,12,5,16
2022-03-15,9,10,3,11
2022-03-22,11,8,6,22
2022-03-29,6,13,2,12
2022-04-05,6,18,6,21
2022-04-12,13,10,9,18
2022-04-19,13,12,3,9
2022-04-26,11,15,13,13
2022-05-03,10,8,6,15
2022-05-10,31,11,14,38
2022-05-17,22,20,11,30
2022-05-24,24,25,10,25
2022-05-31,19,16,6,29
2022-06-07,17,18,14,27
2022-06-14,24,25,19,30
2022-06-21,24,23,23,42
2022-06-28,24,39,16,60
2022-07-05,35,35,18,65
2022-07-12,24,21,15,40
2022-07-19,19,17,20,31
2022-07-26,13,17,7,29
2022-08-02,19,14,11,24
2022-08-09,25,10,13,25
2022-08-16,15,14,10,19
2022-08-23,13,11,10,36
2022-08-30,19,19,22,39
2022-09-06,6,16,10,21
2022-09-13,7,7,8,18
2022-09-20,10,8,17,17
2022-09-27,8,15,17,16
2022-10-04,2,10,6,22
2022-10-11,8,12,6,23
2022-10-18,1,20,4,20
2022-10-25,11,18,5,15
2022-11-01,12,13,7,20
2022-11-08,13,11,3,11
2022-11-15,10,17,8,16
2022-11-22,6,19,16,13
2022-11-29,5,10,5,11
2022-12-06,4,3,1,10
2022-12-13,1,10,3,15
2022-12-20,4,18,0,24
2022-12-27,4,8,0,20
2023-01-03,2,6,0,8
2023-01-10,3,10,1,6
2023-01-17,6,4,1,14
2023-01-24,7,9,3,9
2023-01-31,10,13,2,15
2023-02-07,2,13,5,16
2023-02-14,15,15,5,20
2023-02-21,3,14,1,10
2023-02-28,1,5,1,13
2023-03-07,6,7,0,10
2023-03-14,3,5,2,15
2023-03-21,9,8,2,12
2023-03-28,5,12,2,18
2023-04-04,15,17,4,19
2023-04-11,7,8,1,19
2023-04-18,5,8,2,20
2023-04-25,9,18,5,24
2023-05-02,8,5,1,15
2023-05-09,0,2,1,0
2023-05-16,3,15,7,32
2023-05-23,15,15,12,30
2023-05-30,15,15,5,37
2023-06-06,14,12,9,43
2023-06-13,16,14,8,28
2023-06-20,16,22,17,63
2023-06-27,30,22,14,48
2023-07-04,47,146,26,107
2023-07-11,50,30,16,83
2023-07-18,27,36,18,41
2023-07-25,38,25,16,47
2023-08-01,17,23,13,56
2023-08-08,15,16,21,37
2023-08-15,19,19,24,21
2023-08-22,14,14,4,25
2023-08-29,19,20,9,28
2023-09-05,12,25,9,36
2023-09-12,15,17,1,26
2023-09-19,15,17,7,23
2023-09-26,9,12,4,18
2023-10-03,19,10,13,33
2023-10-10,13,11,2,26
2023-10-17,13,18,7,31
2023-10-24,12,15,6,40
2023-10-31,23,20,8,41
2023-11-07,11,24,21,51
2023-11-14,13,15,3,27
2023-11-21,14,27,4,44
2023-11-28,14,29,9,34
2023-12-05,14,30,6,42
2023-12-12,18,27,9,45
2023-12-19,5,7,0,10
2023-12-26,6,17,1,18
2024-01-02,8,9,1,22
2024-01-09,16,25,2,31
2024-01-16,8,14,3,14
2024-01-23,8,13,7,19
2024-01-30,3,14,2,7
2024-02-06,2,10,1,5
2024-02-13,6,10,1,20
2024-02-20,6,13,2,12
2024-02-27,2,10,3,14
2024-03-05,11,13,1,16
2024-03-12,10,14,4,22
2024-03-19,6,10,1,14
2024-03-26,5,7,5,15
2024-04-02,10,9,2,11
2024-04-09,14,18,1,17
2024-04-16,6,11,3,22
2024-04-23,10,8,2,26
2024-04-30,10,31,8,30
2024-05-07,10,27,5,25
2024-05-14,10,37,8,24
2024-05-21,10,36,9,25
2024-05-28,9,51,9,26
2024-06-04,13,47,13,28
2024-06-11,25,54,11,38
2024-06-18,20,64,18,57
2024-06-25,21,51,23,37
2024-07-02,70,198,34,86
2024-07-09,30,57,25,54
2024-07-16,16,45,17,32
2024-07-23,31,58,20,48
2024-07-30,26,40,11,45
2024-08-06,34,48,9,40
2024-08-13,19,46,20,38
2024-08-20,11,41,20,31
2024-08-27,12,41,13,41
2024-09-03,31,26,20,40
2024-09-10,18,38,10,41
2024-09-17,17,26,11,34
2024-09-24,22,52,20,36
2024-10-01,14,36,23,24
2024-10-08,29,38,10,33
2024-10-15,17,36,10,37
2024-10-22,25,34,17,41
2024-10-29,23,28,7,46
2024-11-05,22,39,12,44
2024-11-12,22,26,10,31
2024-11-19,20,33,12,45
2024-11-26,15,33,7,31
2024-12-03,15,24,6,36
2024-12-10,15,30,14,26
2024-12-17,16,13,10,40
2024-12-24,16,18,6,17
2024-12-31,20,44,21,36
2025-01-07,56,41,33,89
2025-01-14,25,32,7,49
2025-01-21,33,39,10,45
2025-01-28,15,20,7,24
2025-02-04,8,23,3,16
2025-02-11,3,11,1,20
2025-02-18,6,21,1,13
2025-02-25,17,18,4,23
2025-03-04,6,15,2,28
2025-03-11,5,17,2,16
2025-03-18,10,12,3,22
2025-03-25,9,18,2,15
2025-04-01,9,14,1,17
2025-04-08,12,32,4,25
2025-04-15,13,23,4,20
2025-04-22,13,24,3,29
2025-04-29,11,15,2,30
2025-05-06,6,24,6,23
2025-05-13,9,20,7,28
2025-05-20,20,22,12,33
2025-05-27,13,18,13,28
2025-06-03,12,22,7,22
2025-06-10,13,35,9,39
2025-06-17,15,56,11,39
2025-06-24,16,36,6,21
2025-07-01,52,93,19,52
2025-07-08,29,43,15,47
2025-07-15,18,30,11,33
2025-07-22,13,22,8,41
2025-07-29,6,23,14,45
2025-08-05,10,19,13,35
2025-08-12,11,26,20,30
2025-08-19,19,32,19,37
2025-08-26,20,22,8,20
2025-09-02,11,24,16,29
2025-09-09,10,16,5,13
2025-09-16,15,26,5,22
2025-09-23,8,21,4,23
2025-09-30,14,25,6,32
2025-10-07,22,22,10,21
2025-10-14,12,19,3,28
2025-10-21,7,21,1,30
2025-10-28,9,18,8,22
